ID,Airline Name,Verified,Date Flown,Value For Money,Recommend
0,AB Aviation,TRUE,November 2019,3,yes
1,AB Aviation,TRUE,June 2019,2,no
2,AB Aviation,TRUE,June 2019,2,no
3,Adria Airways,FALSE,September 2019,1,no
4,Adria Airways,TRUE,September 2019,1,no
5,Adria Airways,TRUE,September 2019,1,no
6,Adria Airways,FALSE,September 2019,1,no
7,Adria Airways,FALSE,August 2019,1,no
8,Adria Airways,TRUE,August 2019,1,no
9,Adria Airways,TRUE,October 2018,5,yes
10,Adria Airways,FALSE,October 2018,1,no
11,Adria Airways,TRUE,July 2018,1,no
12,Adria Airways,TRUE,May 2018,2,no
13,Adria Airways,TRUE,June 2018,1,no
14,Adria Airways,TRUE,June 2018,1,no
15,Adria Airways,TRUE,April 2018,5,yes
16,Adria Airways,TRUE,March 2018,1,no
17,Adria Airways,TRUE,September 2017,3,no
18,Adria Airways,TRUE,November 2017,3,yes
19,Adria Airways,FALSE,October 2017,1,no
20,Adria Airways,FALSE,June 2017,2,no
21,Adria Airways,FALSE,April 2017,4,yes
22,Adria Airways,FALSE,December 2016,4,yes
23,Adria Airways,FALSE,October 2016,4,yes
24,Adria Airways,FALSE,November 2016,4,yes
25,Adria Airways,FALSE,November 2016,1,no
26,Adria Airways,FALSE,October 2016,1,no
27,Adria Airways,FALSE,October 2016,2,no
28,Adria Airways,FALSE,August 2016,4,no
29,Adria Airways,FALSE,September 2016,4,yes
30,Adria Airways,FALSE,July 2016,3,no
31,Adria Airways,FALSE,July 2016,5,yes
32,Adria Airways,FALSE,July 2016,4,yes
33,Adria Airways,FALSE,July 2016,5,yes
34,Adria Airways,FALSE,July 2016,3,yes
35,Adria Airways,FALSE,January 2016,1,no
36,Adria Airways,FALSE,September 2015,2,no
37,Adria Airways,FALSE,September 2015,5,yes
38,Adria Airways,FALSE,September 2015,5,yes
39,Adria Airways,FALSE,February 2015,3,no
40,Adria Airways,FALSE,August 2015,2,yes
41,Adria Airways,FALSE,August 2015,4,yes
42,Adria Airways,FALSE,,4,yes
43,Adria Airways,FALSE,,5,yes
44,Adria Airways,FALSE,,5,yes
45,Adria Airways,FALSE,,4,yes
46,Adria Airways,FALSE,,2,no
47,Adria Airways,FALSE,,4,yes
48,Adria Airways,FALSE,,3,yes
49,Adria Airways,FALSE,,4,yes
50,Adria Airways,FALSE,,4,yes
51,Adria Airways,FALSE,,4,yes
52,Adria Airways,FALSE,,4,yes
53,Adria Airways,FALSE,,5,yes
54,Adria Airways,FALSE,,4,yes
55,Adria Airways,FALSE,,4,yes
56,Adria Airways,FALSE,,4,yes
57,Adria Airways,FALSE,,4,yes
58,Adria Airways,FALSE,,2,yes
59,Adria Airways,FALSE,,4,yes
60,Adria Airways,FALSE,,4,yes
61,Adria Airways,FALSE,,1,yes
62,Adria Airways,FALSE,,4,yes
63,Adria Airways,FALSE,,1,no
64,Adria Airways,FALSE,,4,yes
65,Adria Airways,FALSE,,4,yes
66,Adria Airways,FALSE,,4,yes
67,Adria Airways,FALSE,,1,yes
68,Adria Airways,FALSE,,1,no
69,Adria Airways,FALSE,,1,no
70,Adria Airways,FALSE,,1,yes
71,Adria Airways,FALSE,,4,yes
72,Adria Airways,FALSE,,4,yes
73,Adria Airways,FALSE,,,no
74,Adria Airways,FALSE,,,no
75,Adria Airways,FALSE,,,no
76,Adria Airways,FALSE,,,no
77,Adria Airways,FALSE,,,no
78,Adria Airways,FALSE,,,no
