,Airline Name,Date Flown,Gender,Age,customer_type,travel_type,class_type,satis_level,Verified,Recommend
0,AB Aviation,June 2019,Female,35,2,1,1,2,TRUE,no
1,AB Aviation,June 2019,Male,48,1,1,1,1,TRUE,no
2,Adria Airways,,Female,20,1,1,2,1,FALSE,yes
3,Adria Airways,,Female,23,1,1,2,1,FALSE,no
4,Adria Airways,,Female,37,2,1,1,1,FALSE,no
5,Adria Airways,,Female,40,1,1,1,1,FALSE,yes
6,Adria Airways,,Female,41,2,1,1,2,FALSE,yes
7,Adria Airways,,Female,43,2,1,1,2,FALSE,yes
8,Adria Airways,,Female,45,2,1,1,2,FALSE,yes
9,Adria Airways,,Female,47,1,1,2,1,FALSE,yes
10,Adria Airways,,Female,49,2,1,1,1,FALSE,yes
11,Adria Airways,,Female,54,2,1,1,2,FALSE,yes
12,Adria Airways,,Female,56,2,1,1,2,FALSE,yes
13,Adria Airways,,Male,20,1,1,2,1,FALSE,yes
14,Adria Airways,,Male,24,1,1,1,2,FALSE,yes
15,Adria Airways,,Male,24,1,1,2,2,FALSE,yes
16,Adria Airways,,Male,27,1,1,1,2,FALSE,yes
17,Adria Airways,,Male,31,2,1,2,1,FALSE,yes
18,Adria Airways,,Male,36,2,1,1,1,FALSE,yes
19,Adria Airways,,Male,37,1,1,1,1,FALSE,yes
20,Adria Airways,,Male,40,2,1,1,2,FALSE,yes
21,Adria Airways,,Male,42,2,1,1,2,FALSE,yes
22,Adria Airways,,Male,43,2,1,1,1,FALSE,no
23,Adria Airways,,Male,44,2,1,1,2,FALSE,yes
24,Adria Airways,,Male,50,2,1,1,2,FALSE,yes
25,Adria Airways,,Male,51,2,1,1,2,FALSE,yes
26,Adria Airways,,Male,52,2,1,1,1,FALSE,no
27,Adria Airways,,Male,53,2,1,1,1,FALSE,yes
28,Adria Airways,,Male,56,2,1,1,2,FALSE,yes
29,Adria Airways,,Male,57,2,1,1,2,FALSE,yes
30,Adria Airways,April 2017,Female,14,2,2,2,1,FALSE,yes
31,Adria Airways,April 2018,Male,52,2,2,2,1,TRUE,yes
32,Adria Airways,August 2015,Female,54,2,1,1,2,FALSE,yes
33,Adria Airways,August 2015,Male,51,2,1,1,2,FALSE,yes
34,Adria Airways,August 2016,Male,58,2,1,1,2,FALSE,no
35,Adria Airways,August 2019,Female,60,2,1,1,2,TRUE,no
36,Adria Airways,August 2019,Male,43,2,1,1,2,FALSE,no
37,Adria Airways,December 2016,Female,70,2,2,2,1,FALSE,yes
38,Adria Airways,February 2015,Female,46,2,1,1,2,FALSE,no
39,Adria Airways,January 2016,Male,39,2,1,1,2,FALSE,no
40,Adria Airways,July 2016,Female,33,1,1,1,1,FALSE,yes
41,Adria Airways,July 2016,Female,48,2,1,1,2,FALSE,yes
42,Adria Airways,July 2016,Male,21,1,1,2,2,FALSE,yes
43,Adria Airways,July 2016,Male,35,1,1,1,1,FALSE,yes
44,Adria Airways,July 2016,Male,48,2,1,1,2,FALSE,no
45,Adria Airways,July 2018,Female,28,1,1,1,1,TRUE,no
46,Adria Airways,June 2017,Female,42,2,2,2,1,FALSE,no
47,Adria Airways,June 2018,Male,9,2,2,1,1,TRUE,no
48,Adria Airways,June 2018,Male,24,1,1,2,1,TRUE,no
49,Adria Airways,March 2018,Male,70,2,2,2,1,TRUE,no
50,Adria Airways,May 2018,Female,27,1,1,1,1,TRUE,no
51,Adria Airways,November 2016,Male,51,2,1,1,2,FALSE,no
52,Adria Airways,November 2016,Male,77,2,1,3,1,FALSE,yes
53,Adria Airways,November 2017,Female,61,2,2,2,1,TRUE,yes
54,Adria Airways,October 2016,Female,56,2,2,2,1,FALSE,yes
55,Adria Airways,October 2016,Male,47,2,1,1,2,FALSE,no
56,Adria Airways,October 2016,Male,50,2,1,1,2,FALSE,no
57,Adria Airways,October 2017,Female,11,2,2,2,1,FALSE,no
58,Adria Airways,October 2018,Female,38,2,1,1,2,FALSE,no
59,Adria Airways,October 2018,Male,50,2,1,1,1,TRUE,yes
60,Adria Airways,September 2015,Female,42,2,1,1,2,FALSE,no
61,Adria Airways,September 2015,Female,51,2,1,1,2,FALSE,yes
62,Adria Airways,September 2015,Female,54,2,1,1,2,FALSE,yes
63,Adria Airways,September 2016,Male,40,2,1,1,2,FALSE,yes
64,Adria Airways,September 2017,Female,48,2,2,2,1,TRUE,no
65,Adria Airways,September 2019,Female,49,2,1,1,2,TRUE,no
66,Adria Airways,September 2019,Male,41,2,1,1,2,FALSE,no
67,Adria Airways,September 2019,Male,43,2,1,1,2,FALSE,no
68,Adria Airways,September 2019,Male,50,2,1,1,2,TRUE,no
69,Aegean Airlines,April 2022,Female,44,2,2,2,1,FALSE,yes
70,Aegean Airlines,April 2022,Female,49,2,1,1,2,TRUE,no
71,Aegean Airlines,April 2022,Female,57,2,1,1,2,TRUE,no
72,Aegean Airlines,April 2022,Male,29,2,2,2,1,TRUE,yes
73,Aegean Airlines,April 2022,Male,35,2,2,2,1,TRUE,no
74,Aegean Airlines,April 2022,Male,37,2,2,2,1,TRUE,no
75,Aegean Airlines,April 2023,Female,11,1,1,2,1,TRUE,yes
